speed,object_distance,visibility,weather,sensor_delay,road_condition,result,stopping_distance,margin,effective_deceleration,failure_probability,predicted_result
120,5,Poor,Fog,0.05,Slippery,FAIL,141.71335200746967,-136.71335200746967,4.76,0.9939986505569106,FAIL
100,5,Poor,Fog,0.05,Slippery,FAIL,101.8842722274095,-96.8842722274095,4.76,0.9939986505569106,FAIL
80,5,Poor,Fog,0.05,Slippery,FAIL,68.5392675588754,-63.5392675588754,4.76,0.9939986505569106,FAIL
80,10,Poor,Fog,0.05,Slippery,FAIL,68.5392675588754,-58.5392675588754,4.76,0.99399331638869,FAIL
100,10,Poor,Fog,0.05,Slippery,FAIL,101.8842722274095,-91.8842722274095,4.76,0.99399331638869,FAIL
120,10,Poor,Fog,0.05,Slippery,FAIL,141.71335200746967,-131.71335200746967,4.76,0.99399331638869,FAIL
80,5,Poor,Fog,0.1,Slippery,FAIL,69.65037866998651,-64.65037866998651,4.76,0.9938699108131518,FAIL
120,5,Poor,Fog,0.1,Slippery,FAIL,143.38001867413635,-138.38001867413635,4.76,0.9938699108131518,FAIL
100,5,Poor,Fog,0.1,Slippery,FAIL,103.27316111629838,-98.27316111629838,4.76,0.9938699108131518,FAIL
100,10,Poor,Fog,0.1,Slippery,FAIL,103.27316111629838,-93.27316111629838,4.76,0.9938645053169708,FAIL
80,10,Poor,Fog,0.1,Slippery,FAIL,69.65037866998651,-59.65037866998651,4.76,0.9938645053169708,FAIL
120,10,Poor,Fog,0.1,Slippery,FAIL,143.38001867413635,-133.38001867413635,4.76,0.9938645053169708,FAIL
100,5,Poor,Fog,0.15,Slippery,FAIL,104.66205000518728,-99.66205000518728,4.76,0.9938159113539304,FAIL
80,5,Poor,Fog,0.15,Slippery,FAIL,70.76148978109762,-65.76148978109762,4.76,0.9938159113539304,FAIL
120,5,Poor,Fog,0.15,Slippery,FAIL,145.046685340803,-140.046685340803,4.76,0.9938159113539304,FAIL
120,5,Poor,Fog,0.0,Slippery,FAIL,140.046685340803,-135.046685340803,4.76,0.9938117109816851,FAIL
100,5,Poor,Fog,0.0,Slippery,FAIL,100.4953833385206,-95.4953833385206,4.76,0.9938117109816851,FAIL
80,5,Poor,Fog,0.0,Slippery,FAIL,67.4281564477643,-62.428156447764295,4.76,0.9938117109816851,FAIL
100,10,Poor,Fog,0.15,Slippery,FAIL,104.66205000518728,-94.66205000518728,4.76,0.9938105304447908,FAIL
80,10,Poor,Fog,0.15,Slippery,FAIL,70.76148978109762,-60.76148978109762,4.76,0.9938105304447908,FAIL
