speed,object_distance,visibility,weather,sensor_delay,road_condition,result,stopping_distance,margin,effective_deceleration
40,5,Good,Clear,0,Dry,FAIL,13.271604938271604,-8.271604938271604,8.0
40,5,Good,Clear,0,Wet,FAIL,14.633260711692083,-9.633260711692083,6.8
40,5,Good,Clear,0,Slippery,FAIL,16.57848324514991,-11.578483245149911,5.6
40,5,Good,Clear,0.05,Dry,FAIL,13.827160493827162,-8.827160493827162,8.0
40,5,Good,Clear,0.05,Wet,FAIL,15.188816267247638,-10.188816267247638,6.8
40,5,Good,Clear,0.05,Slippery,FAIL,17.13403880070547,-12.134038800705468,5.6
40,5,Good,Clear,0.1,Dry,FAIL,14.382716049382715,-9.382716049382715,8.0
40,5,Good,Clear,0.1,Wet,FAIL,15.744371822803194,-10.744371822803194,6.8
40,5,Good,Clear,0.1,Slippery,FAIL,17.689594356261022,-12.689594356261022,5.6
40,5,Good,Clear,0.15,Dry,FAIL,14.938271604938272,-9.938271604938272,8.0
40,5,Good,Clear,0.15,Wet,FAIL,16.29992737835875,-11.299927378358749,6.8
40,5,Good,Clear,0.15,Slippery,FAIL,18.24514991181658,-13.24514991181658,5.6
40,5,Good,Clear,0.25,Dry,FAIL,16.04938271604938,-11.04938271604938,8.0
40,5,Good,Clear,0.25,Wet,FAIL,17.41103848946986,-12.41103848946986,6.8
40,5,Good,Clear,0.25,Slippery,FAIL,19.35626102292769,-14.35626102292769,5.6
40,5,Good,Rain,0,Dry,FAIL,14.128943758573387,-9.128943758573387,7.2
40,5,Good,Rain,0,Wet,FAIL,15.641894617929475,-10.641894617929475,6.12
40,5,Good,Rain,0,Slippery,FAIL,17.803252988438174,-12.803252988438174,5.04
40,5,Good,Rain,0.05,Dry,FAIL,14.684499314128942,-9.684499314128942,7.2
40,5,Good,Rain,0.05,Wet,FAIL,16.19745017348503,-11.19745017348503,6.12
40,5,Good,Rain,0.05,Slippery,FAIL,18.358808543993728,-13.358808543993728,5.04
40,5,Good,Rain,0.1,Dry,FAIL,15.240054869684498,-10.240054869684498,7.2
40,5,Good,Rain,0.1,Wet,FAIL,16.753005729040588,-11.753005729040588,6.12
40,5,Good,Rain,0.1,Slippery,FAIL,18.91436409954928,-13.914364099549282,5.04
40,5,Good,Rain,0.15,Dry,FAIL,15.795610425240053,-10.795610425240053,7.2
40,5,Good,Rain,0.15,Wet,FAIL,17.30856128459614,-12.308561284596141,6.12
40,5,Good,Rain,0.15,Slippery,FAIL,19.46991965510484,-14.469919655104839,5.04
