speed,object_distance,visibility,weather,sensor_delay,road_condition,predicted_result,failure_probability,actual_result,prediction_correct,stopping_distance,margin,effective_deceleration
80,5,Good,Rain,0.15,Wet,FAIL,0.9930640963696856,FAIL,1,54.78980069394012,-49.78980069394012,6.12
40,20,Good,Fog,0.25,Dry,PASS,0.0279018949443729,PASS,1,17.41103848946986,2.5889615105301402,6.8
40,30,Poor,Fog,0.05,Wet,PASS,0.022033617238709,PASS,1,19.012986458199837,10.987013541800163,5.779999999999999
100,15,Moderate,Clear,0.25,Wet,FAIL,0.9901010782649032,FAIL,1,80.34676833696442,-65.34676833696442,6.8
80,30,Moderate,Clear,0.15,Slippery,FAIL,0.9654593008143012,FAIL,1,60.75837742504409,-30.75837742504409,5.6
60,15,Good,Fog,0.05,Dry,FAIL,0.8429372304319136,FAIL,1,29.591503267973863,-14.591503267973863,6.8
40,30,Moderate,Rain,0.15,Wet,PASS,0.0181218532883746,PASS,1,18.419672395707252,11.580327604292748,6.12
100,30,Moderate,Rain,0.1,Slippery,FAIL,0.9668608388581884,FAIL,1,95.99255339996081,-65.99255339996081,5.04
40,30,Poor,Rain,0.25,Slippery,PASS,0.0828013957627432,PASS,1,22.803252988438174,7.1967470115618255,5.04
40,30,Poor,Fog,0.15,Slippery,PASS,0.1194302235329118,PASS,1,22.412594667496627,7.587405332503373,4.76
60,30,Good,Clear,0.0,Wet,FAIL,0.529099059719529,PASS,0,28.758169934640527,1.2418300653594727,6.8
120,10,Good,Rain,0.25,Wet,FAIL,0.9915481239448076,FAIL,1,115.7770515613653,-105.7770515613653,6.12
60,15,Poor,Fog,0.25,Wet,FAIL,0.990806103861145,FAIL,1,39.862552864282975,-24.862552864282975,5.779999999999999
40,20,Poor,Rain,0.0,Wet,PASS,0.0206896400301987,PASS,1,17.864116840151695,2.135883159848305,6.12
80,10,Good,Fog,0.0,Dry,FAIL,0.9862804810470666,FAIL,1,47.421931735657225,-37.421931735657225,6.8
40,20,Moderate,Rain,0.05,Slippery,PASS,0.0613565812585701,PASS,1,19.46991965510484,0.5300803448951612,5.04
40,15,Good,Fog,0.05,Wet,FAIL,0.6056571439557933,FAIL,1,16.790764235977615,-1.7907642359776155,5.779999999999999
40,15,Moderate,Clear,0.0,Dry,PASS,0.4262773111403981,PASS,1,14.382716049382715,0.6172839506172849,8.0
40,20,Poor,Clear,0.0,Dry,PASS,0.036699910995701,PASS,1,15.493827160493826,4.506172839506174,8.0
100,15,Moderate,Rain,0.15,Dry,FAIL,0.9873476324346626,FAIL,1,74.41700960219478,-59.41700960219478,7.2
